# time, R, alfa_r, veloc, accel
91.70,6406783.40012958,0.00655487,721.73533358,-9.78235451
91.80,6406808.91012083,0.00656540,721.37252994,-9.78170888
91.90,6406834.32302611,0.00657594,721.01095486,-9.78106828
92.00,6406859.63885164,0.00658647,720.65060915,-9.78043266
92.10,6406884.85760355,0.00659700,720.29149368,-9.77980198
92.20,6406909.97928795,0.00660754,719.93360928,-9.77917618
92.30,6406935.00391089,0.00661807,719.57695681,-9.77855522
92.40,6406959.93147836,0.00662860,719.22153713,-9.77793905
92.50,6406984.76199635,0.00663914,718.86735109,-9.77732763
92.60,6407009.49547075,0.00664967,718.51439957,-9.77672090
92.70,6407034.13190744,0.00666020,718.16268342,-9.77611882
92.80,6407058.67131225,0.00667073,717.81220353,-9.77552135
92.90,6407083.11369095,0.00668126,717.46296077,-9.77492845
93.00,6407107.45904928,0.00669179,717.11495602,-9.77434006
93.10,6407131.70739295,0.00670232,716.76819017,-9.77375615
93.20,6407155.85872759,0.00671285,716.42266410,-9.77317666
93.30,6407179.91305882,0.00672338,716.07837871,-9.77260157
93.40,6407203.87039220,0.00673391,715.73533488,-9.77203082
93.50,6407227.73073327,0.00674444,715.39353353,-9.77146438
93.60,6407251.49408749,0.00675497,715.05297555,-9.77090220
93.70,6407275.16046033,0.00676550,714.71366184,-9.77034424
93.80,6407298.72985717,0.00677603,714.37559332,-9.76979047
93.90,6407322.20228339,0.00678655,714.03877089,-9.76924083
94.00,6407345.57774430,0.00679708,713.70319546,-9.76869530
94.10,6407368.85624519,0.00680761,713.36886796,-9.76815384
94.20,6407392.03779130,0.00681813,713.03578929,-9.76761640
94.30,6407415.12238784,0.00682866,712.70396039,-9.76708294
94.40,6407438.11003998,0.00683919,712.37338217,-9.76655344
94.50,6407461.00075284,0.00684971,712.04405557,-9.76602784
94.60,6407483.79453152,0.00686024,711.71598150,-9.76550612
94.70,6407506.49138107,0.00687076,711.38916090,-9.76498824
94.80,6407529.09130651,0.00688129,711.06359470,-9.76447417
94.90,6407551.59431281,0.00689181,710.73928384,-9.76396385
95.00,6407574.00040494,0.00690233,710.41622926,-9.76345727
95.10,6407596.30958779,0.00691286,710.09443188,-9.76295438
95.20,6407618.52186625,0.00692338,709.77389265,-9.76245516
95.30,6407640.63724514,0.00693390,709.45461251,-9.76195956
95.40,6407662.65572927,0.00694443,709.13659241,-9.76146756
95.50,6407684.57732342,0.00695495,708.81983329,-9.76097911
95.60,6407706.40203231,0.00696547,708.50433609,-9.76049419
95.70,6407728.12986065,0.00697599,708.19010177,-9.76001276
95.80,6407749.76081311,0.00698651,707.87713126,-9.75953480
95.90,6407771.29489432,0.00699703,707.56542553,-9.75906026
96.00,6407792.73210888,0.00700756,707.25498551,-9.75858912
96.10,6407814.07246136,0.00701808,706.94581217,-9.75812134
96.20,6407835.31595630,0.00702860,706.63790645,-9.75765690
96.30,6407856.46259820,0.00703912,706.33126932,-9.75719576
96.40,6407877.51239153,0.00704964,706.02590171,-9.75673790
96.50,6407898.46534075,0.00706015,705.72180459,-9.75628327
96.60,6407919.32145024,0.00707067,705.41897892,-9.75583186
96.70,6407940.08072441,0.00708119,705.11742564,-9.75538364
96.80,6407960.74316758,0.00709171,704.81714572,-9.75493856
96.90,6407981.30878409,0.00710223,704.51814011,-9.75449662
97.00,6408001.77757822,0.00711275,704.22040976,-9.75405777
97.10,6408022.14955422,0.00712326,703.92395565,-9.75362198
97.20,6408042.42471633,0.00713378,703.62877871,-9.75318924
97.30,6408062.60306875,0.00714430,703.33487992,-9.75275951
97.40,6408082.68461565,0.00715481,703.04226022,-9.75233276
97.50,6408102.66936116,0.00716533,702.75092058,-9.75190898
97.60,6408122.55730940,0.00717585,702.46086195,-9.75148812
97.70,6408142.34846446,0.00718636,702.17208529,-9.75107017
97.80,6408162.04283040,0.00719688,701.88459155,-9.75065509
97.90,6408181.64041123,0.00720739,701.59838170,-9.75024287
98.00,6408201.14121098,0.00721791,701.31345668,-9.74983347
98.10,6408220.54523360,0.00722842,701.02981745,-9.74942687
98.20,6408239.85248304,0.00723894,700.74746497,-9.74902305
98.30,6408259.06296324,0.00724945,700.46640019,-9.74862197
98.40,6408278.17667808,0.00725996,700.18662406,-9.74822363
98.50,6408297.19363143,0.00727048,699.90813753,-9.74782798
98.60,6408316.11382714,0.00728099,699.63094157,-9.74743501
98.70,6408334.93726901,0.00729150,699.35503711,-9.74704469
98.80,6408353.66396084,0.00730201,699.08042510,-9.74665700
98.90,6408372.29390640,0.00731253,698.80710650,-9.74627191
99.00,6408390.82710943,0.00732304,698.53508226,-9.74588941
99.10,6408409.26357364,0.00733355,698.26435331,-9.74550946
99.20,6408427.60330272,0.00734406,697.99492060,-9.74513205
99.30,6408445.84630034,0.00735457,697.72678507,-9.74475715
99.40,6408463.99257014,0.00736508,697.45994768,-9.74438475
99.50,6408482.04211575,0.00737559,697.19440935,-9.74401481
99.60,6408499.99494074,0.00738610,696.93017103,-9.74364731
99.70,6408517.85104870,0.00739661,696.66723365,-9.74328225
99.80,6408535.61044318,0.00740712,696.40559815,-9.74291958
99.90,6408553.27312769,0.00741763,696.14526546,-9.74255930
100.00,6408570.83910574,0.00742814,695.88623651,-9.74220137
100.10,6408588.30838080,0.00743865,695.62851224,-9.74184579
100.20,6408605.68095634,0.00744916,695.37209358,-9.74149252
100.30,6408622.95683578,0.00745967,695.11698144,-9.74114155
100.40,6408640.13602255,0.00747018,694.86317675,-9.74079286
100.50,6408657.21852002,0.00748068,694.61068043,-9.74044643
100.60,6408674.20433156,0.00749119,694.35949341,-9.74010223
100.70,6408691.09346053,0.00750170,694.10961660,-9.73976025
100.80,6408707.88591024,0.00751221,693.86105092,-9.73942047
100.90,6408724.58168400,0.00752271,693.61379727,-9.73908287
101.00,6408741.18078509,0.00753322,693.36785657,-9.73874743
101.10,6408757.68321677,0.00754372,693.12322973,-9.73841413
101.20,6408774.08898230,0.00755423,692.87991765,-9.73808295
101.30,6408790.39808487,0.00756474,692.63792123,-9.73775388
101.40,6408806.61052770,0.00757524,692.39724138,-9.73742688
101.50,6408822.72631397,0.00758575,692.15787899,-9.73710196
101.60,6408838.74544682,0.00759625,691.91983495,-9.73677908
101.70,6408854.66792942,0.00760676,691.68311016,-9.73645824
101.80,6408870.49376487,0.00761726,691.44770550,-9.73613940
101.90,6408886.22295628,0.00762777,691.21362187,-9.73582256
102.00,6408901.85550673,0.00763827,690.98086013,-9.73550770
102.10,6408917.39141928,0.00764877,690.74942118,-9.73519480
102.20,6408932.83069698,0.00765928,690.51930589,-9.73488384
102.30,6408948.17334285,0.00766978,690.29051513,-9.73457480
102.40,6408963.41935990,0.00768028,690.06304977,-9.73426768
102.50,6408978.56875112,0.00769078,689.83691068,-9.73396244
102.60,6408993.62151947,0.00770129,689.61209872,-9.73365908
102.70,6409008.57766792,0.00771179,689.38861475,-9.73335759
102.80,6409023.43719938,0.00772229,689.16645963,-9.73305793
102.90,6409038.20011679,0.00773279,688.94563421,-9.73276010
103.00,6409052.86642303,0.00774329,688.72613934,-9.73246408
103.10,6409067.43612100,0.00775380,688.50797586,-9.73216986
103.20,6409081.90921354,0.00776430,688.29114462,-9.73187741
103.30,6409096.28570351,0.00777480,688.07564645,-9.73158673
103.40,6409110.56559375,0.00778530,687.86148219,-9.73129780
103.50,6409124.74888705,0.00779580,687.64865267,-9.73101060
103.60,6409138.83558622,0.00780630,687.43715872,-9.73072512
103.70,6409152.82569404,0.00781680,687.22700115,-9.73044135
103.80,6409166.71921326,0.00782730,687.01818079,-9.73015926
103.90,6409180.51614664,0.00783780,686.81069845,-9.72987884
104.00,6409194.21649691,0.00784830,686.60455494,-9.72960008
104.10,6409207.82026678,0.00785879,686.39975107,-9.72932297
104.20,6409221.32745894,0.00786929,686.19628763,-9.72904749
104.30,6409234.73807609,0.00787979,685.99416544,-9.72877362
104.40,6409248.05212088,0.00789029,685.79338527,-9.72850135
104.50,6409261.26959598,0.00790079,685.59394793,-9.72823067
104.60,6409274.39050401,0.00791128,685.39585418,-9.72796157
104.70,6409287.41484759,0.00792178,685.19910483,-9.72769402
104.80,6409300.34262934,0.00793228,685.00370063,-9.72742802
104.90,6409313.17385185,0.00794278,684.80964236,-9.72716356
105.00,6409325.90851768,0.00795327,684.61693079,-9.72690061
105.10,6409338.54662941,0.00796377,684.42556668,-9.72663917
105.20,6409351.08818958,0.00797427,684.23555078,-9.72637922
105.30,6409363.53320071,0.00798476,684.04688386,-9.72612075
105.40,6409375.88166534,0.00799526,683.85956665,-9.72586375
105.50,6409388.13358596,0.00800575,683.67359989,-9.72560820
105.60,6409400.28896506,0.00801625,683.48898434,-9.72535410
105.70,6409412.34780513,0.00802674,683.30572071,-9.72510142
105.80,6409424.31010862,0.00803724,683.12380975,-9.72485015
105.90,6409436.17587797,0.00804773,682.94325216,-9.72460029
106.00,6409447.94511564,0.00805823,682.76404867,-9.72435182
106.10,6409459.61782403,0.00806872,682.58619999,-9.72410473
106.20,6409471.19400556,0.00807922,682.40970683,-9.72385901
106.30,6409482.67366262,0.00808971,682.23456989,-9.72361464
106.40,6409494.05679760,0.00810020,682.06078987,-9.72337161
106.50,6409505.34341285,0.00811070,681.88836746,-9.72312992
106.60,6409516.53351075,0.00812119,681.71730334,-9.72288954
106.70,6409527.62709363,0.00813168,681.54759820,-9.72265047
106.80,6409538.62416382,0.00814217,681.37925272,-9.72241269
106.90,6409549.52472365,0.00815267,681.21226755,-9.72217620
107.00,6409560.32877541,0.00816316,681.04664338,-9.72194098
107.10,6409571.03632140,0.00817365,680.88238085,-9.72170702
107.20,6409581.64736391,0.00818414,680.71948062,-9.72147431
107.30,6409592.16190519,0.00819463,680.55794334,-9.72124284
107.40,6409602.57994752,0.00820513,680.39776965,-9.72101260
107.50,6409612.90149314,0.00821562,680.23896019,-9.72078357
107.60,6409623.12654427,0.00822611,680.08151558,-9.72055575
107.70,6409633.25510315,0.00823660,679.92543646,-9.72032913
107.80,6409643.28717198,0.00824709,679.77072344,-9.72010368
107.90,6409653.22275296,0.00825758,679.61737713,-9.71987941
108.00,6409663.06184828,0.00826807,679.46539815,-9.71965631
108.10,6409672.80446011,0.00827856,679.31478709,-9.71943435
108.20,6409682.45059063,0.00828905,679.16554455,-9.71921354
108.30,6409692.00024198,0.00829954,679.01767111,-9.71899386
108.40,6409701.45341632,0.00831003,678.87116737,-9.71877529
108.50,6409710.81011577,0.00832052,678.72603390,-9.71855784
108.60,6409720.07034245,0.00833101,678.58227126,-9.71834149
108.70,6409729.23409848,0.00834150,678.43988003,-9.71812623
108.80,6409738.30138596,0.00835198,678.29886077,-9.71791205
108.90,6409747.27220698,0.00836247,678.15921401,-9.71769894
109.00,6409756.14656361,0.00837296,678.02094032,-9.71748689
109.10,6409764.92445794,0.00838345,677.88404023,-9.71727589
109.20,6409773.60589201,0.00839394,677.74851428,-9.71706593
109.30,6409782.19086788,0.00840442,677.61436298,-9.71685700
109.40,6409790.67938759,0.00841491,677.48158687,-9.71664909
